100000000 | 000000000 | 000000000 || 0 | 0 | 0 | 0 | 0 | 1 || 100000000
000001000 | 000000000 | 000000000 || 0 | 0 | 0 | 0 | 0 | 1 || 000001000
010000000 | 000000000 | 000000000 || 1 | 0 | 0 | 0 | 0 | 1 || 010000000
010000000 | 000000000 | 000000000 || 1 | 0 | 0 | 0 | 0 | 1 || 010000000
010000000 | 010000000 | 010010000 || 1 | 1 | 0 | 0 | 0 | 0 || 010000000
010000000 | 010000000 | 010010000 || 1 | 1 | 0 | 0 | 0 | 0 || 010000000
010000000 | 010000000 | 010010000 || 1 | 1 | 0 | 0 | 0 | 0 || 010000000
010000000 | 010000000 | 010010000 || 1 | 1 | 0 | 0 | 0 | 0 || 010000000
010000000 | 010000000 | 010010000 || 1 | 1 | 0 | 0 | 0 | 0 || 010000000
010000000 | 010000000 | 010010000 || 1 | 1 | 0 | 0 | 0 | 0 || 010000000
010000000 | 010000000 | 010010000 || 1 | 1 | 0 | 0 | 0 | 0 || 010000000
